surah,ayah,latin_iast,latin_ascii
6,139,"āra tārā e kathāo vale thāke ye, ei sava viśeṣa paśugulira garbhe yā kichu raẏeche tā viśeṣabhāve tādera puruṣadera janya rakṣita, āra tādera nārīdera janya oṭā hārāma; kintu garbha hate prasūta vāccā yadi mṛta haẏa tāhale nārī-puruṣa savāi tā bhakṣaṇe aṃśī hate pārave. tādera kṛta ei sava varṇanāra pratidāna ati sattvarai āllāha tāderake divena, niḥsandehe tini hacchena prajñāmaẏa, sarvavidita.","ara tara e kathao vale thake ye, ei sava visesa pasugulira garbhe ya kichu rayeche ta visesabhave tadera purusadera janya raksita, ara tadera naridera janya ota harama; kintu garbha hate prasuta vacca yadi mrta haya tahale nari-purusa savai ta bhaksane amsi hate parave. tadera krta ei sava varnanara pratidana ati sattvarai allaha taderake divena, nihsandehe tini hacchena prajnamaya, sarvavidita."
6,140,"yārā nijedera santānaderake mūrkhatā o ajñānatāra kāraṇe hatyā kareche āra āllāha samparke mithyā racanā kare tā~ra pradatta riykake hārāma kare niẏeche, tārā niścita rūpe pathabhraṣṭa haẏeche; vastutaḥ tārā hidāẏāta grahaṇa karāra pātrao chilanā.","yara nijedera santanaderake murkhata o ajnanatara karane hatya kareche ara allaha samparke mithya racana kare ta~ra pradatta riykake harama kare niyeche, tara niscita rupe pathabhrasta hayeche; vastutah tara hidayata grahana karara patrao chilana."
6,141,"āra sei āllāhai nānā prakāra vāgāna o gulmalatā sṛṣṭi karechena yāra kataka svīẏa kānḍera upara sanniviṣṭa haẏa, āra kataka kānḍera upara sanniviṣṭa haẏanā; āra khejura vṛkṣa o śasyakṣetra yāte vibhinna prakārera khādya utpanna haẏe thāke, āra tini yāitūna (jalapāi) o ānārera (ḍālimera) vṛkṣao sṛṣṭi karechena yā dṛśyataḥ abhinna haleo svāde vibhinna, ei sava phala tomarā āhāra kara yakhana ote phala dhare, āra tā hate śārīẏātera nirdhārita ye aṃśa raẏeche tā phasala kāṭāra dina ādāẏa kare nāo, apavyaẏa kare sīmā laṃghana karanā. niścaẏai tini (āllāha) apavyaẏakārī o sīmālaṃghanakārīke bhālavāsena nā.","ara sei allahai nana prakara vagana o gulmalata srsti karechena yara kataka sviya kandera upara sannivista haya, ara kataka kandera upara sannivista hayana; ara khejura vrksa o sasyaksetra yate vibhinna prakarera khadya utpanna haye thake, ara tini yaituna (jalapai) o anarera (dalimera) vrksao srsti karechena ya drsyatah abhinna haleo svade vibhinna, ei sava phala tomara ahara kara yakhana ote phala dhare, ara ta hate sariyatera nirdharita ye amsa rayeche ta phasala katara dina adaya kare nao, apavyaya kare sima lamghana karana. niscayai tini (allaha) apavyayakari o simalamghanakarike bhalavasena na."
6,142,"āra catuspada jantugulira madhye katakaguli (u~cu ākṛtira) bhāravāhī raẏeche; āra katakaguli raẏeche choṭa ākṛtira, gośata khāoẏāra o cāmar̤ā dvārā vichānā vānānora yogya. āllāha yā kichu dāna karechena tomarā tā āhāra kara, āra śāitānera padāṅka anusaraṇa karanā, niḥsandehe se tomādera prakāśya śatru.","ara catuspada jantugulira madhye katakaguli (u~cu akrtira) bharavahi rayeche; ara katakaguli rayeche chota akrtira, gosata khaoyara o camara dvara vichana vananora yogya. allaha ya kichu dana karechena tomara ta ahara kara, ara saitanera padanka anusarana karana, nihsandehe se tomadera prakasya satru."
6,143,"ei paśuguli āṭa prakāra raẏeche, bher̤āra eka jor̤ā strī-puruṣa evaṃ vakarīra eka jor̤ā strī-puruṣa. tumi jijñesa karaḥ āllāha ki ubhaẏa puruṣa paśugulike hārāma karechena, nāki ubhaẏa strī paśugulike, athavā strī du‘ṭira garbhe yā āche tā hārāma karechena? tomarā jñānera sāthe āmāke uttara dāo yadi tomarā satyavādī haẏe thāka.","ei pasuguli ata prakara rayeche, bherara eka jora stri-purusa evam vakarira eka jora stri-purusa. tumi jijnesa karah allaha ki ubhaya purusa pasugulike harama karechena, naki ubhaya stri pasugulike, athava stri du‘tira garbhe ya ache ta harama karechenay tomara jnanera sathe amake uttara dao yadi tomara satyavadi haye thaka."
6,144,"āra uṭera strī-puruṣa du‘ṭi evaṃ garura strī-puruṣa du‘ṭi paśu, tumi tāderake jijñesa karaḥ āllāha ki e du‘ṭi puruṣa paśuke vā e du‘ṭi strī paśuke hārāma karechena, athavā ubhaẏa strī garu o uṭera garbhe yā raẏeche tā hārāma karechena? āllāha yakhana esava paśu hālāla-hārāma haoẏāra vidhāna jāri karena takhana ki tomarā hāyira chile? ye vyakti vinā pramāṇe nā jene (ajñatāvaśataḥ) mānuṣake vibhrānta karāra uddeśe āllāhara nāme erūpa mithyā āropa kare tāra ceẏe var̤a yālima āra ke hate pāre? āllāha yālimaderake supatha pradarśana karenanā.","ara utera stri-purusa du‘ti evam garura stri-purusa du‘ti pasu, tumi taderake jijnesa karah allaha ki e du‘ti purusa pasuke va e du‘ti stri pasuke harama karechena, athava ubhaya stri garu o utera garbhe ya rayeche ta harama karechenay allaha yakhana esava pasu halala-harama haoyara vidhana jari karena takhana ki tomara hayira chiley ye vyakti vina pramane na jene (ajnatavasatah) manusake vibhranta karara uddese allahara name erupa mithya aropa kare tara ceye vara yalima ara ke hate parey allaha yalimaderake supatha pradarsana karenana."
6,145,"tumi valaḥ ahīra mādhyame āmāra kāche ye vidhāna pāṭhāno haẏeche tāte kona āhārakārīra janya kona vastu hārāma karā haẏeche emana kichu āmi pāini; tave mṛta jantu, pravāhita rakta, śukarera māṃsa evaṃ yā āllāhara nāme yavāha karā haẏani tā hārāma karā haẏeche. kenanā oṭā nāpāka o śārīẏāta vigarhita vastu. kintu yadi kona loka svāda āsvādana o sīmā laṃghanera uddeśya vyatīta nirūpāẏa haẏe par̤e (tāra pakṣe oṭāo khāoẏā vaidha). kenanā āllāha kṣamāśīla o anugrahaśīla.","tumi valah ahira madhyame amara kache ye vidhana pathano hayeche tate kona aharakarira janya kona vastu harama kara hayeche emana kichu ami paini; tave mrta jantu, pravahita rakta, sukarera mamsa evam ya allahara name yavaha kara hayani ta harama kara hayeche. kenana ota napaka o sariyata vigarhita vastu. kintu yadi kona loka svada asvadana o sima lamghanera uddesya vyatita nirupaya haye pare (tara pakse otao khaoya vaidha). kenana allaha ksamasila o anugrahasila."
6,146,"iẏāhudīdera prati āmi sarva prakāra avibhakta nakha viśiṣṭa jīva hārāma karechilāma. āra garu o bher̤ā hate utpanna ubhaẏera carvi tādera janya āmi hārāma karechilāma, kintu pṛṣṭhadeśera carvi, nār̤i bhur̤ira carvi o hār̤era sāthe miśrita carvi ei hārāmera antarbhukta chilanā. tādera vidrohamūlaka ācaraṇera janya āmi tāderake ei śāsti diẏechilāma, āra āmi niḥsandehe satyavādī.","iyahudidera prati ami sarva prakara avibhakta nakha visista jiva harama karechilama. ara garu o bhera hate utpanna ubhayera carvi tadera janya ami harama karechilama, kintu prsthadesera carvi, nari bhurira carvi o harera sathe misrita carvi ei haramera antarbhukta chilana. tadera vidrohamulaka acaranera janya ami taderake ei sasti diyechilama, ara ami nihsandehe satyavadi."
6,147,"sutarāṃ e sava viṣaẏe yadi tārā tomāke mithyāvādī mane kare tāhale tumi vale dāoḥ tomādera rāvva khuvai karuṇāmaẏa, āra aparādhī sampradāẏa hate tā~ra śāstira vidhāna kakhanai pratyāhāra karā havenā.","sutaram e sava visaye yadi tara tomake mithyavadi mane kare tahale tumi vale daoh tomadera ravva khuvai karunamaya, ara aparadhi sampradaya hate ta~ra sastira vidhana kakhanai pratyahara kara havena."
6,148,"muśarikarā (tomāra kathāra uttare) avaśyai valaveḥ āllāha yadi cāitena tāhale āmarā śirka karatāmanā, āra nā āmādera vāpa-dādārā karata, āra kono jinisao āmarā hārāma karatāmanā. vastutaḥ ebhāvei tādera pūrva yugera kāphirerā(rāsūladerake) mithyā pratipanna karechila. śeṣa paryanta tārā āmāra śāstira svāda grahaṇa karate vādhya haẏechila. tumi jijñesa karaḥ tomādera kāche ki kona dalīla pramāṇa āche? thākale āmāra sāmane peśa kara. tomarā dhāraṇā o anumāna vyatīta āra kichurai anusaraṇa karanā, tomarā sampūrṇa ānumānika kathā chār̤ā āra kichui valachanā.","musarikara (tomara kathara uttare) avasyai valaveh allaha yadi caitena tahale amara sirka karatamana, ara na amadera vapa-dadara karata, ara kono jinisao amara harama karatamana. vastutah ebhavei tadera purva yugera kaphirera(rasuladerake) mithya pratipanna karechila. sesa paryanta tara amara sastira svada grahana karate vadhya hayechila. tumi jijnesa karah tomadera kache ki kona dalila pramana achey thakale amara samane pesa kara. tomara dharana o anumana vyatita ara kichurai anusarana karana, tomara sampurna anumanika katha chara ara kichui valachana."
