surah,ayah,latin_iast,latin_ascii
2,31,"āra tini ādamake nāmasamūha sava śikṣā dilena tārapara tā phereśatādera sāmane upasthāpana karalena. sutarāṃ valalena, ‘tomarā āmāke egulora nāma jānāo, yadi tomarā satyavādī hao’.","ara tini adamake namasamuha sava siksa dilena tarapara ta pheresatadera samane upasthapana karalena. sutaram valalena, ‘tomara amake egulora nama janao, yadi tomara satyavadi hao’."
2,32,"tārā valala, ‘āpani pavitra mahāna. āpani āmāderake yā śikhiẏechena, tā chār̤ā āmādera kona jñāna nei. niścaẏa āpani sarvajña, prajñāmaẏa’.","tara valala, ‘apani pavitra mahana. apani amaderake ya sikhiyechena, ta chara amadera kona jnana nei. niscaya apani sarvajna, prajnamaya’."
2,33,"tini valalena, ‘he ādama, egulora nāma tāderake jānāo’. ataḥpara yakhana se egulora nāma tāderake jānāla, tini valalena, ‘āmi ki tomāderake valini, niścaẏa āmi āsamānasamūha o yamīnera gāẏeva jāni evaṃ jāni yā tomarā prakāśa kara evaṃ yā tomarā gopana karate’?","tini valalena, ‘he adama, egulora nama taderake janao’. atahpara yakhana se egulora nama taderake janala, tini valalena, ‘ami ki tomaderake valini, niscaya ami asamanasamuha o yaminera gayeva jani evam jani ya tomara prakasa kara evam ya tomara gopana karate’y"
2,34,"āra yakhana āmi phereśatāderake valalāma, ‘tomarā ādamake sijadā kara’. takhana tārā sijadā karala, ivalīsa chār̤ā. se asvīkāra karala evaṃ ahaṅkāra karala. āra se hala kāphiradera antarbhukta.","ara yakhana ami pheresataderake valalama, ‘tomara adamake sijada kara’. takhana tara sijada karala, ivalisa chara. se asvikara karala evam ahankara karala. ara se hala kaphiradera antarbhukta."
2,35,"āra āmi valalāma, ‘he ādama, tumi o tomāra strī jānnāte vasavāsa kara evaṃ tā theke āhāra kara svācchandye, tomādera icchānuyāẏī evaṃ ei gāchaṭira nikaṭavartī haẏo nā, tāhale tomarā yālimadera antarbhukta haẏe yāve.","ara ami valalama, ‘he adama, tumi o tomara stri jannate vasavasa kara evam ta theke ahara kara svacchandye, tomadera icchanuyayi evam ei gachatira nikatavarti hayo na, tahale tomara yalimadera antarbhukta haye yave."
2,36,"ataḥpara śaẏatāna tāderake jānnāta theke skhalita karala. evaṃ tārā yāte chila tā theke tāderake vera kare dila, āra āmi valalāma, ‘tomarā neme yāo. tomarā eke aparera śatru. āra tomādera janya yamīne raẏeche nirdiṣṭa samaẏa paryanta āvāsa o bhoga-upakaraṇa’.","atahpara sayatana taderake jannata theke skhalita karala. evam tara yate chila ta theke taderake vera kare dila, ara ami valalama, ‘tomara neme yao. tomara eke aparera satru. ara tomadera janya yamine rayeche nirdista samaya paryanta avasa o bhoga-upakarana’."
2,37,"ataḥpara ādama tāra ravera pakṣa theke kichu vāṇī pela, phale āllāha tāra tāovā kavūla karalena. niścaẏa tini tāovā kavūlakārī, ati daẏālu.","atahpara adama tara ravera paksa theke kichu vani pela, phale allaha tara taova kavula karalena. niscaya tini taova kavulakari, ati dayalu."
2,38,"āmi valalāma,‘tomarā savāi tā theke neme yāo. ataḥpara yakhana āmāra pakṣa theke tomādera kāche kona hidāẏāta āsave, takhana yārā āmāra hidāẏāta anusaraṇa karave, tādera kona bhaẏa nei evaṃ tārā duḥkhitao have nā’.","ami valalama,‘tomara savai ta theke neme yao. atahpara yakhana amara paksa theke tomadera kache kona hidayata asave, takhana yara amara hidayata anusarana karave, tadera kona bhaya nei evam tara duhkhitao have na’."
2,39,"āra yārā kupharī kareche evaṃ āmāra āẏātasamūhake asvīkāra kareche, tārāi āgunera adhivāsī. tārā sekhāne sthāẏī have.","ara yara kuphari kareche evam amara ayatasamuhake asvikara kareche, tarai agunera adhivasi. tara sekhane sthayi have."
2,40,"he vanī isarāīla, tomarā āmāra niāmatake smaraṇa kara, ye niāmata āmi tomāderake diẏechi evaṃ tomarā āmāra aṅgīkāra pūrṇa kara, tāhale āmi tomādera aṅgīkāra pūrṇa karava. āra kevala āmākei bhaẏa kara.","he vani isaraila, tomara amara niamatake smarana kara, ye niamata ami tomaderake diyechi evam tomara amara angikara purna kara, tahale ami tomadera angikara purna karava. ara kevala amakei bhaya kara."
